Grid X, Grid Y, Block X, Block Y, GPU Time, CPU Time, Initialization Time, Transfer from host to GPU, Transfer from GPU to host, Grid Dimensions, Block Dimensions
64, 2, 2, 256, 0.06625, 3.126, 0.001566, 0.134, 0.0001301
128, 1, 2, 256, 0.06622, 3.087, 0.001563, 0.1241, 0.0001286
1, 64, 2, 512, 0.06652, 3.125, 0.001558, 0.1351, 0.0001318
2, 32, 2, 512, 0.06649, 3.11, 0.00157, 0.1374, 0.000129
4, 16, 2, 512, 0.06653, 3.108, 0.001573, 0.1351, 0.0001344
8, 8, 2, 512, 0.06649, 3.107, 0.001571, 0.1354, 0.0001308
16, 4, 2, 512, 0.0663, 3.105, 0.001586, 0.1324, 0.0001296
32, 2, 2, 512, 0.06625, 3.104, 0.001574, 0.1256, 0.0001329
64, 1, 2, 512, 0.06624, 3.106, 0.001554, 0.1349, 0.0001296
1, 32, 2, 1024, 0.07221, 3.11, 0.001584, 0.1365, 0.0001308
2, 16, 2, 1024, 0.07217, 3.105, 0.001583, 0.1322, 0.0001303
4, 8, 2, 1024, 0.07216, 3.118, 0.001574, 0.1344, 0.0001313
8, 4, 2, 1024, 0.07216, 3.098, 0.001567, 0.1335, 0.0001297
16, 2, 2, 1024, 0.07178, 3.125, 0.001572, 0.1349, 0.0001454
32, 1, 2, 1024, 0.06992, 3.083, 0.001557, 0.135, 0.0001336
1, 16, 2, 2048, 0.1311, 3.103, 0.001572, 0.13, 0.0001319
2, 8, 2, 2048, 0.1313, 3.122, 0.001575, 0.1353, 0.0001332
4, 4, 2, 2048, 0.1313, 3.125, 0.001571, 0.1331, 0.0001312
8, 2, 2, 2048, 0.1313, 3.126, 0.001568, 0.1345, 0.0001319
16, 1, 2, 2048, 0.1315, 3.115, 0.001585, 0.1353, 0.0001322
1, 8, 2, 4096, 0.2332, 3.123, 0.001576, 0.1333, 0.000134
2, 4, 2, 4096, 0.2328, 3.129, 0.001575, 0.1329, 0.000129
4, 2, 2, 4096, 0.2321, 3.128, 0.001568, 0.1359, 0.0001294
8, 1, 2, 4096, 0.2329, 3.127, 0.001571, 0.1313, 0.0001332
1, 4, 2, 8192, 0.4254, 3.086, 0.001622, 0.1246, 0.0001408
2, 2, 2, 8192, 0.4247, 3.115, 0.001572, 0.1273, 0.0001349
4, 1, 2, 8192, 0.4225, 3.115, 0.001579, 0.1342, 0.0001426
1, 2, 2, 16384, 0.8088, 3.104, 0.001579, 0.123, 0.0001316
2, 1, 2, 16384, 0.8047, 3.107, 0.001548, 0.1353, 0.0001442
1, 1, 2, 32768, 1.569, 3.114, 0.001574, 0.1349, 0.0001503
1, 1024, 4, 16, 0.09436, 3.111, 0.001573, 0.1346, 0.0001304
2, 512, 4, 16, 0.09195, 3.124, 0.001569, 0.1359, 0.0001365
4, 256, 4, 16, 0.08736, 3.134, 0.001567, 0.1363, 0.0001365
8, 128, 4, 16, 0.07582, 3.119, 0.001575, 0.1365, 0.0001333
16, 64, 4, 16, 0.07575, 3.102, 0.001565, 0.138, 0.0001317
32, 32, 4, 16, 0.07568, 3.107, 0.001576, 0.1335, 0.0001442
64, 16, 4, 16, 0.07572, 3.122, 0.001578, 0.1273, 0.0001316
128, 8, 4, 16, 0.07567, 3.106, 0.001561, 0.1238, 0.0001367
256, 4, 4, 16, 0.07566, 3.123, 0.001578, 0.1375, 0.0001325
512, 2, 4, 16, 0.07562, 3.159, 0.001547, 0.1258, 0.0001339
1024, 1, 4, 16, 0.07561, 3.125, 0.001575, 0.1365, 0.0001447
1, 512, 4, 32, 0.09361, 3.171, 0.001588, 0.137, 0.000128
2, 256, 4, 32, 0.08829, 3.12, 0.001628, 0.1363, 0.0001323
4, 128, 4, 32, 0.087, 3.127, 0.001571, 0.1279, 0.000136
8, 64, 4, 32, 0.07258, 3.127, 0.001575, 0.1354, 0.0001282
16, 32, 4, 32, 0.07224, 3.124, 0.001578, 0.1364, 0.0001293
32, 16, 4, 32, 0.0723, 3.126, 0.001569, 0.1353, 0.0001308
64, 8, 4, 32, 0.07212, 3.128, 0.00158, 0.1359, 0.0001319
128, 4, 4, 32, 0.07209, 3.09, 0.001564, 0.136, 0.0001332
256, 2, 4, 32, 0.07208, 3.117, 0.001566, 0.1344, 0.0001403
512, 1, 4, 32, 0.07208, 3.111, 0.001571, 0.1324, 0.0001348
1, 256, 4, 64, 0.08621, 3.132, 0.001576, 0.1272, 0.0001287
2, 128, 4, 64, 0.08409, 3.127, 0.001566, 0.1375, 0.0001301
4, 64, 4, 64, 0.08, 3.129, 0.001556, 0.1338, 0.0001405
8, 32, 4, 64, 0.06616, 3.107, 0.00158, 0.1381, 0.0001363
16, 16, 4, 64, 0.0659, 3.105, 0.001556, 0.1291, 0.0001331
32, 8, 4, 64, 0.06584, 3.156, 0.001556, 0.1379, 0.0001296
64, 4, 4, 64, 0.06587, 3.119, 0.001576, 0.1339, 0.0001336
128, 2, 4, 64, 0.06583, 3.116, 0.001705, 0.139, 0.0001278
256, 1, 4, 64, 0.06587, 3.107, 0.001564, 0.1338, 0.0001284
1, 128, 4, 128, 0.08653, 3.126, 0.001624, 0.1372, 0.000134
2, 64, 4, 128, 0.08404, 3.107, 0.001555, 0.1359, 0.000141
4, 32, 4, 128, 0.08086, 3.089, 0.001556, 0.1268, 0.0001326
8, 16, 4, 128, 0.06653, 3.092, 0.001563, 0.1308, 0.0001322
16, 8, 4, 128, 0.0663, 3.126, 0.001559, 0.1316, 0.000131
32, 4, 4, 128, 0.06628, 3.115, 0.001564, 0.1317, 0.0001298
